method,N,umr_f1,umr_f1_ci_low,umr_f1_ci_high,umr_f1_n,used_f1,used_f1_ci_low,used_f1_ci_high,used_f1_n,hbps,hbps_ci_low,hbps_ci_high,hbps_n,dsg,dsg_ci_low,dsg_ci_high,dsg_n,asr,asr_ci_low,asr_ci_high,asr_n,queries,queries_ci_low,queries_ci_high,queries_n
UMPeek,48969,0.6187593820689722,0.6169984755154675,0.6205202886224769,48969,0.6186692769022638,0.6169082914919021,0.6204302623126255,48969,0.2887436792664747,0.28643953587205945,0.29104782266088997,48969,0.803536260430068,0.8004234159523193,0.8066491049078167,48969,0.739651477075426,0.738243278942853,0.741059675207999,48969,15.237435928852948,15.227900867859457,15.246970989846439,48969
ADAM,48969,0.002275567633098298,0.0020368246085507107,0.002514310657645885,48969,0.0022789807103091504,0.002039585089285256,0.002518376331333045,48969,0.0032336494721150115,0.0029221183517213474,0.0035451805925086756,48969,0.04975529443853793,0.0470187017759321,0.052491887101143754,21323,2.042108272580612e-05,1.9411531167798274e-05,2.143063428381397e-05,48969,15.987134717882743,15.983377434739484,15.990892001026001,48969
LLM-PBE,48969,0.01754298030485277,0.016905112886323497,0.018180847723382045,48969,0.017383069711875233,0.016756638771690587,0.01800950065205988,48969,0.0505767708958729,0.049561676282028934,0.05159186550971686,48969,0.03428916297839105,0.0338151626505951,0.03476316330618699,34569,0.0,0.0,0.0,48969,1.0,1.0,1.0,48969
PLeak,48969,0.000631698511702808,0.00047141036081046084,0.0007919866625951552,48969,0.000631698511702808,0.00047141036081046084,0.0007919866625951552,48969,0.00043927311156037493,0.0003280059048513507,0.0005505403182693991,48969,0.11342701697524683,0.10361896552850725,0.12323506842198642,23046,0.0,0.0,0.0,48969,8.0,8.0,8.0,48969
IPI,48969,0.05098956524981132,0.04993210946432813,0.05204702103529451,48969,0.05082965465683378,0.04977865672379035,0.0518806525898772,48969,0.06783899275051562,0.06688072952052058,0.06879725598051066,48969,0.08074878648500101,0.07952993069749112,0.08196764227251091,34569,0.0,0.0,0.0,48969,1.0,1.0,1.0,48969
Imprompter,48969,0.053165333990641536,0.05232776018559378,0.054002907795689295,48969,0.053004316045465606,0.05217424624248926,0.053834385848441954,48969,0.08353980595887193,0.0823473837832488,0.08473222813449507,48969,0.14373305075059056,0.141606330488782,0.14585977101239914,39369,0.0,0.0,0.0,48969,8.0,8.0,8.0,48969
AttrInf,48969,0.10003216997748282,0.09848191140370088,0.10158242855126476,48969,0.10003967300519709,0.09848925814971743,0.10159008786067675,48969,0.14399380312034143,0.14180084738801021,0.14618675885267265,48969,0.06726820580775669,0.06490892991367736,0.06962748170183602,33969,0.05060344299454757,0.04977881692709444,0.051428069062000696,48969,0.0,0.0,0.0,48969
PIE,48969,0.10003167595064952,0.09848187332466317,0.10158147857663587,48969,0.10003917897836379,0.0984892200245191,0.10158913793220847,48969,0.14715231176866997,0.1449565521120255,0.14934807142531445,48969,0.07497034918807037,0.0725405588694674,0.07740013950667333,33969,0.05048091649819273,0.04965796022660306,0.051303872769782405,48969,0.0,0.0,0.0,48969
