condition,budget,benchmark,N_records,N_clusters,backend_count,umr_f1,umr_f1_ci_low,umr_f1_ci_high,umr_f1_n,hbps,hbps_ci_low,hbps_ci_high,hbps_n,task_score,task_score_ci_low,task_score_ci_high,task_score_n
privacy_checker,0,ETAPP_150x32,384,128,3,0.12068943489583334,0.0972922623046875,0.1472437390625,128,0.25923030729166663,0.21177371061197917,0.3105624107421875,128,0.117640296875,0.092277180859375,0.14378148639322916,128
privacy_checker,0,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.007740161458333334,0.000578703125,0.020109953124999996,128,0.060435682291666674,0.0459270201171875,0.07739830566406249,128,0.09518277083333333,0.0558121369140625,0.13826727350260415,128
privacy_checker,0,PersonaLens,384,128,3,0.0,0.0,0.0,128,0.0,0.0,0.0,128,0.2726999505208333,0.2453172029296875,0.3016707633463542,128
privacy_checker,0,PersonaMem-v2,384,128,3,0.0,0.0,0.0,128,0.0,0.0,0.0,128,0.6640625,0.5858723958333333,0.7395833333333333,128
privacy_checker,1,ETAPP_150x32,384,128,3,0.19981247916666667,0.17450458652343748,0.225993153515625,128,0.3782407369791667,0.31964444010416665,0.4369726371744791,128,0.117640296875,0.09448915794270833,0.14460832102864582,128
privacy_checker,1,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.007740161458333334,0.000578703125,0.01953125,128,0.05992419010416667,0.04564090852864583,0.07796156966145831,128,0.09518277083333333,0.057593596809895835,0.14288402285156246,128
privacy_checker,1,PersonaLens,384,128,3,0.011626101562500001,0.007011554101562499,0.016822745898437498,128,0.164434171875,0.14139954967447915,0.18711927421874996,128,0.2726999505208333,0.24479489915364583,0.2992672314453124,128
privacy_checker,1,PersonaMem-v2,384,128,3,0.3351011302083333,0.3111851958333333,0.35942878502604164,128,0.15624993229166667,0.120637934765625,0.19444436464843753,128,0.6640625,0.5885416666666666,0.7369791666666666,128
privacy_checker,2,ETAPP_150x32,384,128,3,0.218183140625,0.19058882363281252,0.24670741725260414,128,0.3912615703125,0.3298419372395833,0.4508615382812499,128,0.117640296875,0.09282687493489583,0.14563224908854164,128
privacy_checker,2,LoCoMo_10conv_1523QA_20speakers,384,128,3,0.020833333333333332,0.0,0.04694010416666631,128,0.052606364583333336,0.04386928255208333,0.06134924368489584,128,0.09518277083333333,0.056652837955729174,0.13837202897135417,128
privacy_checker,2,PersonaLens,384,128,3,0.01807421875,0.012486984440104166,0.024012396289062498,128,0.22713650000000002,0.20585255442708333,0.24911514427083334,128,0.2726999505208333,0.24352024244791667,0.3004726393880208,128
