condition,budget,N_records,N_clusters,backend_count,umr_f1,umr_f1_ci_low,umr_f1_ci_high,umr_f1_n,hbps,hbps_ci_low,hbps_ci_high,hbps_n,task_score__personamem_v2,task_score__personamem_v2_ci_low,task_score__personamem_v2_ci_high,task_score__personamem_v2_n,task_score__personalens,task_score__personalens_ci_low,task_score__personalens_ci_high,task_score__personalens_n,task_score__etapp,task_score__etapp_ci_low,task_score__etapp_ci_high,task_score__etapp_n,task_score__locomo,task_score__locomo_ci_low,task_score__locomo_ci_high,task_score__locomo_n
stateful_counterfactual,16,384,128,3,0.17863515104166666,0.1552198216796875,0.20288712890624996,128,0.278307828125,0.22924653404947917,0.326688213671875,128,0.41666666666666663,0.25,0.5833333333333333,32,0.17700283333333333,0.12102390729166668,0.236864934375,32,0.3161855,0.25147832213541665,0.39340853177083335,32,0.2564112083333333,0.13790769921874999,0.38376026458333334,32
without_cross_request_state,16,384,128,3,0.189872125,0.1648314969401042,0.21446405566406251,128,0.27749899218749996,0.23049011184895832,0.3271890446614583,128,0.41666666666666663,0.26041666666666663,0.5833333333333333,32,0.17656091666666668,0.11989070390625,0.23568879687499994,32,0.31406496875,0.24757904348958337,0.3929703523437498,32,0.25293898958333333,0.13808686822916666,0.38236980312499996,32
without_counterfactual_comparison,16,384,128,3,0.24175435416666669,0.21099427740885418,0.27182089479166666,128,0.21592977083333334,0.168772391796875,0.2666596821614583,128,0.16666666666666669,0.05208333333333333,0.2916666666666667,32,0.08078125,0.045208333333333336,0.12161458333333332,32,0.23133270833333333,0.16906966145833335,0.3046101966145832,32,0.018662625000000002,0.00446428125,0.035196486718749996,32
