step_order,variant,step,umr_f1_on_used_facts,umr_f1_on_used_facts_ci_low,umr_f1_on_used_facts_ci_high,accepted_fact_precision,accepted_fact_precision_ci_low,accepted_fact_precision_ci_high,N
1,output_only,initial response only,0.0027669270833333335,0.0009366678346486288,0.004597186332018038,0.0027669270833333335,0.0009366678346486288,0.004597186332018038,3072
2,schema_only,+ public schema/tool information,0.06486030631510417,0.05952548933454227,0.07019512329566607,0.15361870638020833,0.1412567057652968,0.16598070699511985,3072
3,no_followup,+ visible tool arguments,0.15287302115885418,0.14507160659752547,0.1606744357201829,0.32786419466145833,0.3123651356137817,0.34336325370913495,3072
4,no_strict_acceptance,+ bounded follow-up behavior,0.6060581100260417,0.5983332963167397,0.6137829237353437,0.5497348154296875,0.5413773790259369,0.5580922518334381,3072
5,full_umpeek,+ strict acceptance,0.651254357421875,0.643137197843501,0.659371517000249,0.6341416171875,0.6250702164718488,0.6432130179031511,3072
