variant,label,N,accepted_fact_precision,accepted_fact_precision_ci_low,accepted_fact_precision_ci_high,accepted_fact_precision_se,accepted_fact_precision_n,umr_f1_on_used_facts,umr_f1_on_used_facts_ci_low,umr_f1_on_used_facts_ci_high,umr_f1_on_used_facts_se,umr_f1_on_used_facts_n,dsg,dsg_ci_low,dsg_ci_high,dsg_se,dsg_n,avg_queries,avg_queries_ci_low,avg_queries_ci_high,avg_queries_se,avg_queries_n
full_umpeek,Full UMPeek,3072,0.6341416171875,0.6250702164718488,0.6432130179031511,0.004628265671250569,3072,0.651254357421875,0.643137197843501,0.659371517000249,0.0041414079481499845,3072,0.8388477467447917,0.8274481698347761,0.8502473236548073,0.005816110668375313,3072,15.038736979166666,15.000415530306634,1.0,0.01955175962246491,3072
no_candidate_fields,No candidate fields,3072,0.6308069150390625,0.6216503039417411,0.6399635261363839,0.0046717403557762095,3072,0.6494237841796875,0.6412419232000602,0.6576056451593147,0.004174418867156769,3072,0.8381469622395833,0.8266658712095033,0.8496280532696633,0.005857699505142853,3072,15.037434895833334,14.999250210017172,1.0,0.019481982559266885,3072
no_followup,No follow-up,3072,0.32786419466145833,0.3123651356137817,0.34336325370913495,0.007907683187590121,3072,0.15287302115885418,0.14507160659752547,0.1606744357201829,0.0039803135516983165,3072,0.32891113810829337,0.3128676760236244,0.3449546001929623,0.008185439839116798,2918,0.0,0.0,0.0,0.0,3072
no_public_schema_tool_info,No public schema/tool information,3072,0.6295946217447916,0.6204079995798195,0.6387812439097638,0.004687052124985785,3072,0.6481240263671875,0.6398959286981538,0.6563521240362211,0.004198009014813063,3072,0.8356006621093749,0.8240283271581684,0.8471729970605814,0.0059042525261257745,3072,15.0400390625,15.001857681569392,1.0,0.01948029639316746,3072
no_strict_acceptance,No strict acceptance,3072,0.5497348154296875,0.5413773790259369,0.5580922518334381,0.004263998165178899,3072,0.6060581100260417,0.5983332963167397,0.6137829237353437,0.003941231484337766,3072,0.8389282145182292,0.8275051663708206,0.8503512626656378,0.005828085789494158,3072,15.038736979166666,15.00050063268139,1.0,0.019508340043507905,3072
no_visible_tool_evidence,No visible tool evidence,3072,0.63300800390625,0.6238794498724674,0.6421365579400327,0.004657425527440104,3072,0.6481378883463541,0.6399258071596429,0.6563499695330653,0.004189837340158798,3072,0.83764266796875,0.8261411368159157,0.8491441991215842,0.005868128139201145,3072,15.037760416666666,14.999549480708536,1.0,0.019495375488841876,3072
output_only,Output-only extraction,3072,0.0027669270833333335,0.0009366678346486288,0.004597186332018038,0.0009338057391248493,3072,0.0027669270833333335,0.0009366678346486288,0.004597186332018038,0.0009338057391248493,3072,0.9857099166666666,0.9833136292550476,0.9881062040782856,0.0012225956181729696,768,0.0,0.0,0.0,0.0,3072
random_followup,Random follow-up,3072,0.3770782711588541,0.3655134773559471,0.38864306496176115,0.0059004050014831826,3072,0.2804438388671875,0.27144104813473563,0.28944662959963935,0.004593260577781567,3072,0.44346203282994096,0.4283048213454004,0.45861924431448153,0.007733271165581919,3046,14.854166666666666,14.811537898616441,1.0,0.021749371454196753,3072
schema_only,Initial response plus public schema/tool information,3072,0.15361870638020833,0.1412567057652968,0.16598070699511985,0.0063071431708732195,3072,0.06486030631510417,0.05952548933454227,0.07019512329566607,0.0027218453982458674,3072,0.3445717404513889,0.3260075041237064,0.3631359767790714,0.00947154914677679,2304,0.0,0.0,0.0,0.0,3072
